"filename", "language", "YAML", "Markdown", "JSON", "Swift", "XML", "C++", "HTML", "Dart", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\constants\colors.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\datasource\authenication_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\datasource\banner_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\datasource\basket_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\datasource\category_dataresource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\datasource\category_product_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 33
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\datasource\product_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 7, 62
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\datasource\product_detail_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 9, 119
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\model\banner.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\model\card_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 11, 47
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\model\card_item.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 4, 8, 66
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\model\category.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\model\product.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 2, 44
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\model\product_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\model\product_properties.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\model\product_variant.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\model\variant.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\model\variant_type.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 37
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\repository\authentication_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 6, 45
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\repository\banner_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\repository\basket_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\repository\category_product_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\repository\category_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\repository\product_detail_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 7, 75
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\repository\product_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 5, 45
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\di\di.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 3, 8, 55
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 179, 0, 0, 0, 9, 188
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\card_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 342, 0, 0, 1, 11, 354
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\category_icon_item_chip.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 4, 73
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\category_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 1, 7, 117
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 339, 0, 0, 1, 22, 362
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 4, 160
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\product_detail_Screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 873, 0, 0, 99, 38, 1010
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\product_list_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 7, 121
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 10, 3, 111
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\test_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 3, 42
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\test_screen2.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\util\api_exception.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\util\auth_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\util\extentions\string_extention.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\widgets\banner_slider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 3, 50
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\widgets\cached_Image.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\widgets\product_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 3, 168
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 5, 12
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\linux\main.cc", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\linux\my_application.cc", "C++", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 11, 20, 105
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\linux\my_application.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 4, 17
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
